Designator,Mid X,Mid Y,Rotation,Layer
C1,124.013,-95.377,0.0,top
C10,127.889,-100.01,90.0,top
C11,142.494,-103.632,270.0,top
C2,131.572,-98.11,270.0,top
C3,133.604,-98.11,270.0,top
C4,135.636,-98.11,270.0,top
C5,143.002,-98.11,270.0,top
C6,145.034,-98.11,270.0,top
C7,147.066,-98.11,270.0,top
C8,149.098,-98.11,270.0,top
C9,120.015,-100.01,90.0,top
D1,151.892,-109.728,0.0,top
D2,151.892,-112.268,0.0,top
D3,151.892,-114.808,0.0,top
J1,123.952,-89.884,180.0,top
J2,155.439,-97.028,270.0,top
J3,107.0205,-97.116,90.0,top
J4,105.664,-109.728,90.0,top
J5,119.888,-111.76,180.0,top
J6,134.112,-113.8835,180.0,top
L1,139.277,-94.234,0.0,top
Q1,119.954,-105.3315,270.0,top
Q2,130.302,-105.3315,270.0,top
Q3,134.112,-105.3315,270.0,top
Q4,137.795,-105.3315,270.0,top
R1,116.078,-90.17,180.0,top
R10,122.0235,-108.458,0.0,top
R11,125.5795,-108.458,0.0,top
R12,155.3445,-109.728,180.0,top
R13,130.048,-110.1325,270.0,top
R14,132.08,-110.1325,90.0,top
R15,134.112,-110.1325,90.0,top
R16,136.144,-110.1325,270.0,top
R17,138.176,-110.1325,270.0,top
R18,155.3445,-112.268,180.0,top
R19,155.3445,-114.808,180.0,top
R2,131.9765,-90.17,0.0,top
R20,105.664,-115.316,180.0,top
R3,116.078,-92.202,180.0,top
R4,131.9765,-92.202,180.0,top
R5,116.078,-94.234,0.0,top
R6,116.078,-96.266,0.0,top
R7,149.86,-103.632,90.0,top
R8,114.4035,-108.458,0.0,top
R9,117.9595,-108.458,0.0,top
RV1,146.304,-103.632,0.0,top
U1,139.316,-99.585,90.0,top
U2,123.952,-99.6545,0.0,top
